Date,Contact,Unknown
2020-06-01,6,7
2020-06-02,22,12
2020-06-03,6,6
2020-06-04,14,14
2020-06-05,8,12
2020-06-06,16,10
2020-06-07,5,9
2020-06-08,7,6
2020-06-09,5,7
2020-06-10,10,8
2020-06-11,12,10
2020-06-12,18,7
2020-06-13,13,11
2020-06-14,37,10
2020-06-15,35,13
2020-06-16,11,16
2020-06-17,6,10
2020-06-18,19,22
2020-06-19,16,19
2020-06-20,24,15
2020-06-21,21,14
2020-06-22,16,13
2020-06-23,12,19
2020-06-24,32,23
2020-06-25,29,19
2020-06-26,26,28
2020-06-27,21,36
2020-06-28,21,39
2020-06-29,34,24
2020-06-30,26,28
2020-07-01,47,20
2020-07-02,62,45
2020-07-03,84,40
2020-07-04,85,46
2020-07-05,53,58
2020-07-06,60,42
2020-07-07,59,47
2020-07-08,41,34
2020-07-09,,
2020-07-10,,
2020-07-11,,
2020-07-12,,
2020-07-13,,
2020-07-14,,
2020-07-15,,
2020-07-16,,
2020-07-17,,
2020-07-18,,
2020-07-19,,
2020-07-20,,
